city,country,population,income_capita,unemp,univ,know_int_sec,rd_emp_perc,patent_mil,product_mil
1,1,0.840666587742915,550.6530986301925,0.12461645888894972,0,0,0.02423097811729578,3.1879395699897994,31.248236412747488
7,1,1.3846273209883309,584.4775660429075,0.12527580523227755,0,0,0.025055161046455506,3.515799539209535,34.461066307197896
10,1,0.7417646362437481,521.2297680591902,0.12708900767642883,0,0,0.007582482948269433,3.1792032309407063,31.22845602244766
11,1,13.516600038219417,366.5471159144941,0.13467149062469835,0,0,0.018461697613177747,1.1284712666054888,11.099436343579791
23,1,1.3681436624051357,218.68869842324028,0.15296835165204406,0,0,0.01401110979571525,1.349681964791958,13.234894313032623
35,1,4.269267573047351,178.84769562765936,0.15230900530871644,0,0,0.012197907351563864,0.8037431925165592,7.883804227170225
45,2,1.5000129310706898,640.0439791268559,0.1175284856981761,0,0,0.028187056177262436,3.5337667270652195,34.63744145403809
49,2,1.0714378079076365,471.03702767336347,0.13516600038219415,0,0,0.017802351269849966,2.9863444255173297,29.272834768137457
56,2,3.131895130806938,641.2143188862628,0.11719881252651229,0,0,0.02571450738978329,3.986243155173905,39.070226920230716
62,2,1.9780390299833288,207.49629424525136,0.1547815540961955,0,0,0.0003296731716638883,5.336089956551699,52.301494828375056
70,2,2.9340912278086053,496.5042801843989,0.13335279793804278,0,0,0.011868234179899973,2.9604650815417144,29.019975445471264
90,3,0.37912414741347156,905.8594574394488,0.10945149299241089,0,0,0.015659475654034694,4.136738958038469,40.54600887318411
103,3,0.6923136604941654,508.80108948746215,0.13005606622140384,0,0,0.014505619553211084,1.7848505513882909,17.49839260557585
2,1,1.9780390299833288,647.9726189053722,0.1275835174339247,0,1,0.01730784151235413,3.0455207598309983,29.85272987709423
3,1,2.2088102501480518,695.8906144067182,0.11274822470904974,0,1,0.03445084643887631,3.369094977819107,33.02319676898585
24,1,2.3736468359799954,583.0929387219192,0.13219894183721917,0,1,0.008571502463261094,3.3893698778764354,33.22166001832752
25,1,2.225293908731245,799.4244739677627,0.11225371495155394,0,1,0.03148378789390134,3.669592073790741,35.96717819194436
26,1,3.478051961054021,764.4956014299735,0.12049554424315108,0,1,0.01664849516902635,3.3453585094593037,32.790612346376975
31,1,2.027490005732914,560.1806532912788,0.13664952965468155,0,1,0.019285880542337454,3.004476449958844,29.451187954007626
34,1,15.214416872288442,687.6817524322877,0.12675933450476506,0,1,0.022912285430640236,3.916517279366991,38.387803454886495
38,1,4.137398304381797,757.077955067536,0.11439659056736927,0,1,0.026044180561447167,3.7114605665920544,36.37877514676673
40,2,1.219790735156386,563.5268359836673,0.1340121442813706,0,1,0.0097253585640847,3.1775548650823886,31.14752125880414
41,2,2.868156593475828,589.7193694723633,0.13170443207972335,0,1,0.017967187855681906,2.953706781522608,28.952392445280175
42,2,3.197829765139714,627.6317842137105,0.12445162230311782,0,1,0.021923265915648575,3.2917866190639242,32.26560782050223
63,2,3.4450846438876317,529.1913751548734,0.1348363272105303,0,1,0.013022090280723583,3.238214728668542,31.741097804384985
64,2,3.2307970823061067,726.3194481512954,0.11604495642568867,0,1,0.015989148825698577,3.6025035833571386,35.311128580333246
79,2,1.763751468401802,511.81759900818656,0.1409352808863123,0,1,0.013351763452387483,3.048487818375974,29.882730135715647
80,2,4.153881962964991,529.8177541810348,0.1340121442813706,0,1,0.014340782967379135,2.8864534545031724,28.27705695312669
81,3,0.42857512316305496,701.8247314966687,0.12478129547478167,0,1,0.03082444155057356,4.272069795006495,41.95552651863307
86,3,0.5274770746622214,922.3266323640598,0.09989097101415811,0,1,0.033791500095548536,4.8913608479771105,47.94024844043347
87,3,0.7087973190773597,968.9753861545006,0.1017041734583095,0,1,0.03000025862141383,4.718447269439399,46.24539866490944
6,1,1.0384704907412476,712.8193317716591,0.10582508810410808,1,0,0.027527709833934662,3.642723710300132,35.70459351071409
13,1,8.75282270767623,692.2971768355818,0.11472626373903308,1,0,0.024395814703127728,3.7810216058131347,37.05955024625266
14,1,4.48355513462888,563.4114503735849,0.12247358327313451,1,0,0.010055031735748595,2.2780416161974664,22.330412282653466
15,1,4.846195623459157,642.7472991344994,0.12164940034397473,1,0,0.0194507171281694,2.8721126715357936,28.152275657651924
19,1,5.340705380954987,425.1959731535,0.13351763452387475,1,0,0.023901304945631894,2.628319361090349,25.76395836553287
22,1,9.675907588335122,609.8953675781931,0.11340757105237757,1,0,0.023571631773968003,3.6840976933439493,36.10926732893151
28,1,4.236300255880965,587.8072650767127,0.12197907351563862,1,0,0.01697816834069024,3.5415140465993207,34.71359595669244
33,1,12.857253694891641,562.4389145171765,0.12247358327313451,1,0,0.02159359274398468,3.3267319752602966,32.60764373610352
36,1,16.121018094364135,705.9621298010499,0.10664927103326786,1,0,0.02521999763228746,4.1088815750328695,40.272050467531436
43,2,12.42867857172858,661.8353757738389,0.11637462959735252,1,0,0.026538690318942997,3.5688769198474217,34.98013671598272
44,2,16.730913461942325,619.0108307746996,0.11802299545567196,1,0,0.020274900057329123,3.6806361250414796,36.07531099225013
46,2,2.011006347149719,544.9662364189905,0.12362743937395805,1,0,0.008736339049093041,3.513162153836223,34.43584630956561
50,2,19.599070055418153,313.37083332510895,0.13730887599800942,1,0,0.007912156119933319,1.195065247281595,11.717903213621236
52,2,12.692417109059697,633.730737889492,0.12609998816143728,1,0,0.01401110979571525,3.710471547077062,36.369379461374315
53,2,6.494561481778598,508.88350778037795,0.12609998816143728,1,0,0.01401110979571525,2.175513259809999,21.326722311522747
54,2,7.02203855644082,598.3897738871236,0.12280325644479835,1,0,0.005769280504118043,2.953706781522608,28.95173309893684
57,2,6.5769797746945695,666.3518982256343,0.12263841985896642,1,0,0.020604573228993006,3.8393737571976416,37.632027708847005
58,2,7.747319534101376,389.95391110262995,0.14044077112881637,1,0,0.008571502463261094,2.6528800123793093,26.004454944261678
59,2,7.54951563110304,613.3734195392472,0.12428678571728587,1,0,0.019615553714001345,3.7787138936114877,37.037956653508665
67,2,6.148404651531514,543.4497398293366,0.12708900767642883,1,0,0.023901304945631894,3.4145898755087227,33.46907973366126
69,2,8.70337173192665,583.6698667723309,0.11983619789982339,1,0,0.02785738300559856,3.406512882802957,33.389628499290254
71,2,8.456116853178731,483.3503206350096,0.13269345159471502,1,0,0.017802351269849966,2.8584312349117433,28.019252532885524
72,2,18.643017857592877,518.0154546354676,0.13038573939306777,1,0,0.011703397594068037,3.2818964239140085,32.169508090962196
74,2,6.1978556272811,164.45746168453067,0.15527606385369133,1,0,0.0023077122016472184,1.2601756986852126,12.358128512992511
75,2,23.373827870969677,666.5332184700492,0.11604495642568867,1,0,0.02571450738978329,3.986243155173905,39.070226920230716
76,2,7.219842459439151,592.6204933830052,0.12164940034397473,1,0,0.018132024441513864,3.656569983510017,35.8397595110963
78,2,6.329724895946654,619.571275166529,0.11686913935484836,1,0,0.02011006347149719,3.585195741844783,35.18997368974675
91,3,6.857201970608879,492.630620417348,0.12148456375814282,1,0,0.015494639068202741,1.511881165250591,14.82243547118008
